State,Race,Income
AK,african_american,51944
AK,pacific_islander,50250
AK,american_indian,45997
AK,asian_american,64466
AK,white_american,80056
AK,hispanic_american,60540
AL,african_american,29180
AL,pacific_islander,54145
AL,american_indian,44856
AL,asian_american,55775
AL,white_american,50760
AL,hispanic_american,33984
AR,african_american,26731
AR,pacific_islander,31405
AR,american_indian,34888
AR,asian_american,59872
AR,white_american,45346
AR,hispanic_american,34589
AZ,african_american,39483
AZ,pacific_islander,47056
AZ,american_indian,31593
AZ,asian_american,66274
AZ,white_american,55800
AZ,hispanic_american,39020
CA,african_american,43087
CA,pacific_islander,60717
CA,american_indian,45490
CA,asian_american,79260
CA,white_american,72741
CA,hispanic_american,47393
CO,african_american,42150
CO,pacific_islander,56099
CO,american_indian,40458
CO,asian_american,66237
CO,white_american,66208
CO,hispanic_american,42774
CT,african_american,42917
CT,pacific_islander,51071
CT,american_indian,43867
CT,asian_american,89755
CT,white_american,79565
CT,hispanic_american,40059
DC,african_american,40677
DC,pacific_islander,0
DC,american_indian,61985
DC,asian_american,83064
DC,white_american,119934
DC,hispanic_american,61087
DE,african_american,47242
DE,pacific_islander,0
DE,american_indian,39663
DE,asian_american,88009
DE,white_american,65434
DE,hispanic_american,45698
FL,african_american,34664
FL,pacific_islander,49170
FL,american_indian,39723
FL,asian_american,61880
FL,white_american,52510
FL,hispanic_american,40851
GA,african_american,36655
GA,pacific_islander,35595
GA,american_indian,37373
GA,asian_american,65611
GA,white_american,57966
GA,hispanic_american,38784
HI,african_american,62115
HI,pacific_islander,57492
HI,american_indian,44688
HI,asian_american,74800
HI,white_american,69834
HI,hispanic_american,56637
IA,african_american,28670
IA,pacific_islander,49375
IA,american_indian,28342
IA,asian_american,56976
IA,white_american,54717
IA,hispanic_american,40387
ID,african_american,37928
ID,pacific_islander,29931
ID,american_indian,35663
ID,asian_american,55525
ID,white_american,49061
ID,hispanic_american,38085
IL,african_american,33730
IL,pacific_islander,59615
IL,american_indian,41280
IL,asian_american,76810
IL,white_american,64353
IL,hispanic_american,47082
IN,african_american,30349
IN,pacific_islander,33456
IN,american_indian,35439
IN,asian_american,54246
IN,white_american,52006
IN,hispanic_american,39712
KS,african_american,33677
KS,pacific_islander,61250
KS,american_indian,40660
KS,asian_american,59365
KS,white_american,55420
KS,hispanic_american,40117
KY,african_american,29358
KY,pacific_islander,36290
KY,american_indian,30729
KY,asian_american,62948
KY,white_american,45475
KY,hispanic_american,35672
LA,african_american,27756
LA,pacific_islander,60577
LA,american_indian,41029
LA,asian_american,54313
LA,white_american,55479
LA,hispanic_american,42637
MA,african_american,42959
MA,pacific_islander,80658
MA,american_indian,38286
MA,asian_american,78996
MA,white_american,74905
MA,hispanic_american,36171
MD,african_american,59021
